Points,K,MultEps,MinPts,Nodes,S1-Parsing,S2-Kd-tree,S3-Up max angles,S3.5-AllGather angles,S4-EPS&other,S5-DBSCAN,S6-Border-tree,S7-Core points,S7.5-AlltoAll,S8-File print/Total Time,NumberClusters,CPUinfo
52072,5,1.30,7,1,0.0862,0.1532,14.5182,14.5247,14.5261,29.4027,29.4135,33.3850,33.3860,33.7885,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,1,0.0147,0.0795,14.4995,14.5017,14.5030,29.3330,29.3431,33.4037,33.4045,33.5259,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,1,0.0147,0.0826,14.7581,14.7626,14.7640,29.7117,29.7220,33.8453,33.8463,34.1674,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,1,0.0124,0.0775,14.7196,14.7221,14.7235,29.5877,29.5978,33.7079,33.7087,33.9921,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,1,0.0089,0.1071,26.2165,26.2191,26.2212,47.8788,47.8936,55.2539,55.2554,55.4265,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0260,0.1302,26.6609,26.6641,26.6660,48.3517,48.3669,55.9203,55.9218,56.2703,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0402,0.1451,26.1969,26.1993,26.2014,47.7634,47.7780,55.1404,55.1419,55.5339,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0352,0.1340,26.2341,26.2367,26.2387,47.8930,47.9076,55.2953,55.2967,55.4868,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0545,0.1577,26.3116,26.3142,26.3162,48.0304,48.0449,55.3966,55.3981,56.0474,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0586,0.1593,26.2847,26.2874,26.2893,47.9562,47.9708,55.3184,55.3199,55.8404,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0362,0.1391,26.7819,26.7846,26.7866,48.5096,48.5248,56.1051,56.1064,56.2946,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,1,0.0293,0.1308,26.7938,26.7966,26.7985,48.5252,48.5405,56.1321,56.1336,56.2866,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0433,0.1092,6.9324,14.1689,14.1705,28.8390,28.8490,30.7083,39.8481,40.0936,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,2,0.0344,0.1012,6.8972,8.1798,8.1815,23.1424,23.1533,25.0487,25.3103,25.7080,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,2,0.0335,0.1312,12.4656,12.4717,12.4739,34.4036,34.4190,37.9036,37.9050,38.1766,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0240,0.1226,12.2144,14.2016,14.2039,35.9378,35.9527,39.3633,39.9779,40.1994,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0320,0.1305,12.4104,14.4220,14.4243,35.9640,35.9787,39.3874,40.0332,40.3662,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,2,0.0232,0.1207,12.4268,14.3924,14.3945,36.0572,36.0725,39.5483,40.0024,40.4640,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
